filename,N,F,sample_num,seed,cov_filename
sample0_seed93586.npy,1000,100,0,93586,cov_sample0_seed93586.npy
sample1_seed811551.npy,1000,100,1,811551,cov_sample1_seed811551.npy
sample2_seed686367.npy,1000,100,2,686367,cov_sample2_seed686367.npy
sample3_seed460197.npy,1000,100,3,460197,cov_sample3_seed460197.npy
sample4_seed454049.npy,1000,100,4,454049,cov_sample4_seed454049.npy
sample5_seed900305.npy,1000,100,5,900305,cov_sample5_seed900305.npy
sample6_seed90120.npy,1000,100,6,90120,cov_sample6_seed90120.npy
sample7_seed731243.npy,1000,100,7,731243,cov_sample7_seed731243.npy
sample8_seed211256.npy,1000,100,8,211256,cov_sample8_seed211256.npy
sample9_seed98752.npy,1000,100,9,98752,cov_sample9_seed98752.npy
