filename,N,F,sample_num,seed
sample0_seed93586.npy,1000,3,0,93586
sample1_seed811551.npy,1000,3,1,811551
sample2_seed686367.npy,1000,3,2,686367
sample3_seed460197.npy,1000,3,3,460197
sample4_seed454049.npy,1000,3,4,454049
sample5_seed900305.npy,1000,3,5,900305
sample6_seed90120.npy,1000,3,6,90120
sample7_seed731243.npy,1000,3,7,731243
sample8_seed211256.npy,1000,3,8,211256
sample9_seed98752.npy,1000,3,9,98752
sample0_seed93586.npy,1000,10,0,93586
sample1_seed811551.npy,1000,10,1,811551
sample2_seed686367.npy,1000,10,2,686367
sample3_seed460197.npy,1000,10,3,460197
sample4_seed454049.npy,1000,10,4,454049
sample5_seed900305.npy,1000,10,5,900305
sample6_seed90120.npy,1000,10,6,90120
sample7_seed731243.npy,1000,10,7,731243
sample8_seed211256.npy,1000,10,8,211256
sample9_seed98752.npy,1000,10,9,98752
sample0_seed93586.npy,1000,100,0,93586
sample1_seed811551.npy,1000,100,1,811551
sample2_seed686367.npy,1000,100,2,686367
sample3_seed460197.npy,1000,100,3,460197
sample4_seed454049.npy,1000,100,4,454049
sample5_seed900305.npy,1000,100,5,900305
sample6_seed90120.npy,1000,100,6,90120
sample7_seed731243.npy,1000,100,7,731243
sample8_seed211256.npy,1000,100,8,211256
sample9_seed98752.npy,1000,100,9,98752
