filename,N,F,sample_num,seed,noise_filename,n_spheres
sample0_seed93586.npy,1000,10,0,93586,noise_sample0_seed93586.npy,3
sample1_seed811551.npy,1000,10,1,811551,noise_sample1_seed811551.npy,3
sample2_seed686367.npy,1000,10,2,686367,noise_sample2_seed686367.npy,3
sample3_seed460197.npy,1000,10,3,460197,noise_sample3_seed460197.npy,3
sample4_seed454049.npy,1000,10,4,454049,noise_sample4_seed454049.npy,3
sample5_seed900305.npy,1000,10,5,900305,noise_sample5_seed900305.npy,3
sample6_seed90120.npy,1000,10,6,90120,noise_sample6_seed90120.npy,3
sample7_seed731243.npy,1000,10,7,731243,noise_sample7_seed731243.npy,3
sample8_seed211256.npy,1000,10,8,211256,noise_sample8_seed211256.npy,3
sample9_seed98752.npy,1000,10,9,98752,noise_sample9_seed98752.npy,3
